product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
O-acetyl-L-homoserine,C01077,C01077,O-Acetyl-L-homoserine,C6H11NO4,MNXM739517,cpd00790,,16288;57716,CPD-667,2240,,CC(=O)OCC[C@H](N)C(=O)O
threonine,,,,,,,,,,,,
diaminopimelic acid,,,,,,,,,,,,
lysine,C16440,C16440,Lysine,C6H14N2O2,MNXM1106164,cpd00039;cpd19182,lys__L,133538;18019;25094;32550;32551;32552;32563;32564;32565,LYS,22945;79,R-ALL-29444;R-ALL-351979;R-ALL-351991;R-ALL-428004,NCCCCC(N)C(=O)O
acetate,C00033,C00033,Acetate,C2H4O2,MNXM26,cpd00029,ac,15366;30089,ACET;CPD-24335,1278,R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518,CC(=O)O
L-methionine,C00073,C00073,L-Methionine,C5H11NO2S,MNXM738804,cpd00060,met__L,16643;32631;32632;57844,MET,2315;77,R-ALL-174390;R-ALL-351966;R-ALL-379705,CSCC[C@H](N)C(=O)O
L-serine,C00065,C00065,L-Serine,C3H7NO3,MNXM737787,cpd00054,ser__L,17115;32836;32837;33384,SER,2140;75,R-ALL-200736;R-ALL-352002;R-ALL-379732,N[C@@H](CO)C(=O)O
D-lactic acid,C00256,C00256,(R)-Lactate,C3H6O3,MNXM731834,cpd00221,lac__D,16004;42111,D-LACTATE,1997;2284,,C[C@@H](O)C(=O)O
butanol,,,,,,,,,,,,
lactate,C01432,C01432,Lactate,C3H6O3,MNXM733758,cpd01022,,24996;78320,Lactate,,,CC(O)C(=O)O
selenocysteine,,,,,,,,,,,,
Seleno-methylselenocysteine,,,,,,,,,,,,
pterostilbene,C10287,C10287,Pterostilbene,C16H16O3,MNXM2720,cpd07176,,8630,CPD-6959,,,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1
SUMO-tagged Vitis vinifera resveratrol O-methyltransferase gene,,,,,,,,,,,,
Pyruvic acid,C00022,C00022,Pyruvate,C3H4O3,MNXM23,cpd00020,pyr,15361;177913;32816,PYRUVATE,33,R-ALL-113557;R-ALL-29398;R-ALL-389680;R-ALL-429750,CC(=O)C(=O)O
biomass,,,,,,,,,,,,
glutathione,C00051,C00051,Glutathione,C10H17N3O6S,MNXM490899,cpd00042,gthrd,16856;57925,GLUTATHIONE;GSH-Group,1926,R-ALL-1247892;R-ALL-1500783;R-ALL-158543;R-ALL-1655887;R-ALL-2239524;R-ALL-29450,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
lycopene,C05432,C05432,Lycopene,C40H56,MNXM736240,cpd03217,,15948,CPD1F-114,7906,,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C
adonirubin,C15967,C15967,Phoenicoxanthin,C40H52O3,MNXM3530,cpd14691,,80216,CPD-7849,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)CCC1=O
astaxanthin,C08580,C08580,Astaxanthin,C40H52O4,MNXM4475,cpd05487;cpd24923,,40968,CPD-7847,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1=O
canthaxanthin,C08583,C08583,Canthaxanthin,C40H52O2,MNXM3938,cpd05490,,3362,CPD-7851,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O
β-carotene,C02094,C02094,beta-Carotene,C40H56,MNXM736699,cpd01420,caro,17579,CPD1F-129,5998,R-ALL-5164389;R-ALL-975643,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1
Triacylglycerol,C00422,C00422,Triacylglycerol,C6H5O6R3,MNXM732989,,,,,,,*C(=O)OCC(COC(*)=O)OC(*)=O
retinol,C00473,C00473,Retinol,C20H30O,MNXM1102094,cpd00365,retinol,17336,CPD-13524,,R-ALL-2395761;R-ALL-2473604;R-ALL-2473607;R-ALL-2473610;R-ALL-2473615;R-ALL-2473616;R-ALL-2473617;R-ALL-30209;R-ALL-5623649;R-ALL-975590;R-ALL-975599,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
retinoids,,,,,,,,,,,,
S-mandelic acid,,,,,,,,,,,,
acetic acid,C00033,C00033,Acetate,C2H4O2,MNXM26,cpd00029,ac,15366;30089,ACET;CPD-24335,1278,R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518,CC(=O)O
plasmid DNA,,,,,,,,,,,,
surfactin,C12043,C12043,Surfactin,C53H93N7O13,MNXM730102,cpd08834,,71978,,14087,,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O1
4-coumaric acid,,,,,,,,,,,,
caffeic acid,C01197,C01197,Caffeate,C9H8O4,MNXM726800,cpd00881;cpd22503;cpd30744,34dhcinm;dhcinnm,16433;36281;57770,CAFFEATE;CPD-676,5437;5610,,O=C(O)/C=C/c1ccc(O)c(O)c1
caffeic acid,C01481,C01481,Caffeate,C9H8O4,MNXM726800,cpd00881;cpd22503;cpd30744,34dhcinm;dhcinnm,16433;36281;57770,CAFFEATE;CPD-676,5437;5610,,O=C(O)/C=C/c1ccc(O)c(O)c1
naringenin,C00509,C00509,Naringenin,C15H12O5,MNXM738152,cpd00398,,17846;58292,NARINGENIN-CMPD,,,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
phenylethanol,,,,,,,,,,,,
"(S)-1-phenyl-1,2-ethanediol",,,,,,,,,,,,
polyhydroxybutyrate,,,,,,,,,,,,
L-tryptophan,C00078,C00078,L-Tryptophan,C11H12N2O2,MNXM741553,cpd00065;cpd19007,trp__L,16828;27897;32702;32704;32727;32728;57912;64554,TRP,2164;85,R-ALL-29500;R-ALL-352006;R-ALL-379709,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
medium-chain-length polyhydroxyalkanoates,,,,,,,,,,,,
cell-associated fatty acid,,,,,,,,,,,,
extracellular fatty acid,,,,,,,,,,,,
poly(4-hydroxybutyrate,,,,,,,,,,,,
poly(4-hydroxybutyrate) homopolyester,,,,,,,,,,,,
poly(4-hydroxybutyrate) films,,,,,,,,,,,,
isobutanol,,,,,,,,,,,,
isobutyraldehyde,,,,,,,,,,,,
heparosan,,,,,,,,,,,,
Green Fluorescent Protein,,,,,,,,,,,,
recombinant protein,,,,,,,,,,,,
Melanin,C05606,C05606,Melanin,,MNXM531732,cpd12744;cpd23381;cpd23418,melanin,89634,CPD-12379;CPD-12380;CPD-12419;MELANIN,,,
ethanol,C00469,C00469,Ethanol,C2H6O,MNXM1108092,cpd00363,etoh,16236,ETOH,56,R-ALL-113748;R-ALL-30203,CCO
α-cuprenene,,,,,,,,,,,,
"2,3-butanediol",,,,,,,,,,,,
Lactic acid,C01432,C01432,Lactate,C3H6O3,MNXM733758,cpd01022,,24996;78320,Lactate,,,CC(O)C(=O)O
"1,2-propanediol",C00583,C00583,"Propane-1,2-diol",C3H8O2,MNXM1118,cpd00453,,16997,DL-12-Propanediol,2107,,CC(O)CO
acetol,C05235,C05235,Hydroxyacetone,C3H6O2,MNXM1744,cpd03105,acetol,27957,ACETOL,2727,,CC(=O)CO
L(-)-carnitine,,,,,,,,,,,,
D-lactate,C00256,C00256,(R)-Lactate,C3H6O3,MNXM731834,cpd00221,lac__D,16004;42111,D-LACTATE,1997;2284,,C[C@@H](O)C(=O)O
L-lactic acid,C00186,C00186,(S)-Lactate,C3H6O3,MNXM731835,cpd00159,lac__L,16651;422,L-LACTATE,1312,R-ALL-29708;R-ALL-373863,C[C@H](O)C(=O)O
glycolic acid,C00160,C00160,Glycolate,C2H4O3,MNXM222,cpd00139;cpd12347,glyclt,17497;29805,GLYCOLLATE;Ketoaldonates,1953,R-ALL-389822,O=C(O)CO
spinosad,,,,,,,,,,,,
uridine,C00299,C00299,Uridine,C9H12N2O6,MNXM1103104,cpd00249,uri,16704,URIDINE,1326,R-ALL-109503;R-ALL-727787;R-ALL-83923;R-ALL-83929,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
acetoin,C00466,C00466,Acetoin,C4H8O2,MNXM1092472,,R_actn,15688,ACETOIN,2054,,CC(=O)C(C)O
diacetyl,C00741,C00741,Diacetyl,C4H6O2,MNXM1467,cpd00551,diact,16583,DIACETYL,2145,,CC(=O)C(C)=O
α-acetolactate,,,,,,,,,,,,
"1,3-propanediol",C02457,C02457,"Propane-1,3-diol",C3H8O2,MNXM2861,cpd01618,13ppd,16109,CPD-347,2417,,OCCCO
3-hydroxypropionic acid,C01013,C01013,3-Hydroxypropanoate,C3H6O3,MNXM872,cpd00745,3hpp,16510;33404,3-HYDROXY-PROPIONATE,2214,,O=C(O)CCO
methylglyoxal,C00546,C00546,Methylglyoxal,C3H4O2,MNXM310,cpd00428,mthgxl,17158,METHYL-GLYOXAL,2088,,CC(=O)C=O
L-lactate,C00186,C00186,(S)-Lactate,C3H6O3,MNXM731835,cpd00159,lac__L,16651;422,L-LACTATE,1312,R-ALL-29708;R-ALL-373863,C[C@H](O)C(=O)O
medium chain length polyhydroxyalkanoate,,,,,,,,,,,,
lactic acid,C01432,C01432,Lactate,C3H6O3,MNXM733758,cpd01022,,24996;78320,Lactate,,,CC(O)C(=O)O
human interferon gamma,,,,,,,,,,,,
n-butanol,C06142,C06142,1-Butanol,C4H10O,MNXM3230,cpd03662,1btol;btoh,28885,BUTANOL,25507;2869,,CCCCO
Fps1,,,,,,,,,,,,
anthranilate,C00108,C00108,Anthranilate,C7H7NO2,MNXM188,cpd00093,anth,16567;30754,ANTHRANILATE,5005,,Nc1ccccc1C(=O)O
L-threonine,C00188,C00188,L-Threonine,C4H9NO3,MNXM142,cpd00161,thr__L,16857;26986;32820;32822;32832;32833;57926,THR,27463;76,R-ALL-351990;R-ALL-352000;R-ALL-379706,C[C@@H](O)[C@H](N)C(=O)O
"Galactose-alpha-1,3-galactose",,,,,,,,,,,,
Galactaric acid,C00879,C00879,D-Galactarate,C6H10O8,MNXM1107694,cpd00652;cpd01246,galct__D;galctr__D,16537;30852;35390;48871,D-GALACTARATE,2176,,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
Shikimic acid,C00493,C00493,Shikimate,C7H10O5,MNXM602,cpd00383,skm,132329;16119;36208,SHIKIMATE,27314;5117,R-ALL-964932,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
Balhimycin,C15711,C15711,Balhimycin,C66H73Cl2N9O24,MNXM43287,cpd11352,,47250,CPD-17525,,,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)C(=O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccc(cc2Cl)[C@H]1O
(R)-3-hydroxybutyrate,,,,,,,,,,,,
(R)-3-hydroxyvalerate,,,,,,,,,,,,
(S)-3-hydroxyvalerate,,,,,,,,,,,,
(S)-3-hydroxybutyrate,,,,,,,,,,,,
3-hydroxybutyrate,,,,,,,,,,,,
Ethanol,C00469,C00469,Ethanol,C2H6O,MNXM1108092,cpd00363,etoh,16236,ETOH,56,R-ALL-113748;R-ALL-30203,CCO
Lycopene,C05432,C05432,Lycopene,C40H56,MNXM736240,cpd03217,,15948,CPD1F-114,7906,,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C
glucose,C00031,C00031,D-Glucose,C6H12O6,MNXM1137670,cpd00027,glc__D,4167,Glucopyranose;Hederagenin-Monoglucosides;Soyasapogenol-B-Monoglucosides;Soyasapogenol-E-Monoglucosides,1406;1407,,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
putrescine,C00134,C00134,Putrescine,C4H12N2,MNXM118,cpd00118;cpd12215,ptrc,17148;172953;326268,PUTRESCINE,1941,R-ALL-141350;R-ALL-29610,NCCCCN
glycerol,C00116,C00116,Glycerol,C3H8O3,MNXM89612,cpd00100,glyc,17754,GLYCEROL,1303,R-ALL-192438;R-ALL-76116,OCC(O)CO
l-valine,C00183,C00183,L-Valine,C5H11NO2,MNXM199,cpd00156;cpd15141,val__L,16414;176648;27266;32851;32852;32859;32860;57762;87977,VAL,23113;68,R-ALL-113540;R-ALL-29702;R-ALL-351992,CC(C)[C@H](N)C(=O)O
1-propanol,C05979,C05979,Propane-1-ol,C3H8O,MNXM6396,cpd03559,ppoh,28831,PROPANOL,2834,,CCCO
propionate,C00163,C00163,Propanoate,C3H6O2,MNXM1094052,cpd00141,ppa;prpnte,17272;30768,PROPIONATE,1955,R-ALL-429737;R-ALL-429754,CCC(=O)O
alpha-pinene,C09880,C09880,alpha-Pinene,C10H16,MNXM730814,cpd19099,appnn,36740,Alpha-pinene,,,CC1=CCC2CC1C2(C)C
hydrogen,C00282,C00282,Hydrogen,H2,MNXM1108018,cpd11640,h2,18276;29237;29238;29294;29298;29299,HYDROGEN-MOLECULE,,R-ALL-113555,[H][H]
alginate,C01768,C01768,(Alginate)n,(C6H8O6)n,MNXM96567,,,,,,,*O[C@@H]1C(C(=O)O)O[C@@H](*)[C@@H](O)[C@H]1O
beta-glucuronidase,,,,,,,,,,,,
α-amylase,,,,,,,,,,,,
Agarase,,,,,,,,,,,,
citric acid,C00158,C00158,Citrate,C6H8O7,MNXM1107753,cpd00137,cit,133748;16947;30769;35802;35804;35806;35808;35809;35810;76049,CIT,1952,R-ALL-29654;R-ALL-433138;R-ALL-76190,O=C(O)CC(O)(CC(=O)O)C(=O)O
medium-chain-length poly(3-hydroxyalkanoates,,,,,,,,,,,,
medium chain length polyhydroxyalkanoates,,,,,,,,,,,,
free fatty acids,,,,,,,,,,,,
Hydroxy fatty acids,,,,,,,,,,,,
5-keto-D-gluconic acid,,,,,,,,,,,,
Succinate,C00042,C00042,Succinate,C4H6O4,MNXM25,cpd00036,succ,15741;172952;30031;30779;90372,SUC,1924,R-ALL-113536;R-ALL-159939;R-ALL-1650769;R-ALL-29434;R-ALL-389583;R-ALL-433123,O=C(O)CCC(=O)O
L-ornithine,C00077,C00077,L-Ornithine,C5H12N2O2,MNXM741175,cpd00064,orn;orn__L,15729;44667;46911;46914,L-ORNITHINE,1290,R-ALL-113585;R-ALL-113586;R-ALL-29498;R-ALL-375800,NCCC[C@H](N)C(=O)O
Xylitol,C00379,C00379,Xylitol,C5H12O5,MNXM737068,cpd00306,xylt,17151,XYLITOL,2033,,OC[C@H](O)[C@@H](O)[C@H](O)CO
L-Phenylalanine,C00079,C00079,L-Phenylalanine,C9H11NO2,MNXM741664,cpd00066,phe__L,17295;176650;32486;32487;58095,PHE,2365;83,R-ALL-29502;R-ALL-351993;R-ALL-379701,N[C@@H](Cc1ccccc1)C(=O)O
DAMP4,,,,,,,,,,,,
2-phenylethanol,C05853,C05853,Phenylethyl alcohol,C8H10O,MNXM2476,cpd03481,2phetoh,49000,CPD-7035,8208,,OCCc1ccccc1
catechol,C00090,C00090,Catechol,C6H6O2,MNXM731896,cpd00077;cpd01232,catechol,18135;32402;50524,CATECHOL,5002,,Oc1ccccc1O
catechol,C15571,C15571,Catechol,C6H6O2,MNXM731896,cpd00077;cpd01232,catechol,18135;32402;50524,CATECHOL,5002,,Oc1ccccc1O
geranic acid,C16461,C16461,Geranic acid,C10H16O2,MNXM5766,cpd15165,,142930;67260;67264,CPD-7618,24703;24726,,CC(C)=CCC/C(C)=C/C(=O)O
geraniol,C01500,C01500,Geraniol,C10H18O,MNXM740315,cpd01062,,17447,GERANIOL,5623,,CC(C)=CCC/C(C)=C/CO
cinnamic acid,C10438,C10438,Cinnamic acid,C9H8O2,MNXM736095,cpd00333,cinnm,15669;23248;27386;35697,CPD-674,12522;5085,,O=C(O)/C=C/c1ccccc1
p-hydroxycinnamic acid,,,,,,,,,,,,
"1,10-diaminodecane",,,,,,,,,,,,
ectoine,C06231,C06231,Ectoine,C6H10N2O2,MNXM1101175,cpd03727,ecto__L,27592;58515;63475,ECTOINE,,,CC1=N[C@H](C(=O)O)CCN1
crude violacein,,,,,,,,,,,,
green fluorescent protein,,,,,,,,,,,,
"amorpha-4,11-diene",C16028,C16028,"Amorpha-4,11-diene",C15H24,MNXM3912,cpd14749,,52026,CPD-7554,,,C=C(C)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21
Cellobionic acid phosphorylase,,,,,,,,,,,,
Isobutanol,,,,,,,,,,,,
esculetin,C09263,C09263,Esculetin,C9H6O4,MNXM8593,cpd06158,,490095,CPD-8097,11353,,O=c1ccc2cc(O)c(O)cc2o1
scopoletin,C01752,C01752,Scopoletin,C10H8O4,MNXM3357,cpd01209,,17488,SCOPOLETIN,5775,,COc1cc2ccc(=O)oc2cc1O
umbelliferone,C09315,C09315,Umbelliferone,C9H6O3,MNXM2293,cpd06210,hcoumarin,27510,CPD-8186,11405,R-ALL-76452,O=c1ccc2ccc(O)cc2o1
deoxycytidine,C00881,C00881,Deoxycytidine,C9H13N3O4,MNXM704,cpd00654,dcyt,15698,DEOXYCYTIDINE,2178,R-ALL-109379;R-ALL-109757,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
trans-4-hydroxy-l-proline,C01157,C01157,Hydroxyproline,C5H9NO3,MNXM736064,cpd00851,4hpro_LT,18095;58375,4-HYDROXY-L-PROLINE,2261,,O=C(O)[C@@H]1C[C@@H](O)CN1
Neurosporene,,,,,,,,,,,,
caffealdehyde,,,,,,,,,,,,
coniferaldehyde,C02666,C02666,Coniferyl aldehyde,C10H10O3,MNXM858,cpd01733,conialdh,16547,CONIFERYL-ALDEHYDE,2482,,COc1cc(/C=C/C=O)ccc1O
p-coumaraldehyde,C05608,C05608,4-Hydroxycinnamyl aldehyde,C9H8O2,MNXM4534,cpd03332,,28353,COUMARALDEHYDE,8008,,O=C/C=C/c1ccc(O)cc1
Poly-γ-glutamic acid,,,,,,,,,,,,
Ethylene glycol,C01380,C01380,Ethylene glycol,C2H6O2,MNXM1107139,cpd00992,,30742,GLYCOL;Sugar-alcohols,2277,,OCCO
Formate,C00058,C00058,Formate,CH2O2,MNXM39,cpd00047;cpd22511,for,15740;30751,CARBOXYL-GROUP;CPD1G-1532;CPD1G-1533;CPD1G-1534;CPD1G-1535;FORMATE,1285,R-ALL-29460;R-ALL-389585;R-ALL-444084,O=CO
Hyperoside,,,,,,,,,,,,
Isoquercitrin,C05623,C05623,Quercetin 3-O-glucoside,C21H20O12,MNXM731494,cpd26557,,144437;68352,CPD1F-437,28325,,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
Quercitrin,C01750,C01750,Quercitrin,C21H20O11,MNXM733344,cpd01207,,17558;58192,QUERCITRIN,,,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O
N-(p-coumaroyl) phenethylamine,,,,,,,,,,,,
N-(p-coumaroyl) tyramine,,,,,,,,,,,,
Poly(3-hydroxybutyrate,,,,,,,,,,,,
cyanophycin,C19709,C19709,[L-Asp(4-L-Arg)]n,H2O(C10H17N5O4)n,MNXM739684,,,,,,,N=C(N)NCCC[C@H](NC(=O)CC(N)C(=O)O)C(=O)O
arachidonic acid,C00219,C00219,Arachidonate,C20H32O2,MNXM1107770,cpd00188,arachd,15843;32395,ARACHIDONIC_ACID,1980,R-ALL-140356;R-ALL-29768;R-ALL-400137;R-ALL-422506,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
Fatty acid,C00162,C00162,Fatty acid,CHO2R,MNXM739606,,,,,1927;3036,,*C(=O)O
3-methylxanthine,C16357,C16357,3-Methylxanthine,C6H6N4O2,MNXM1890,cpd15073,,62205;62207;62208,3-METHYLXANTHINE,,,Cn1c(=O)[nH]c(=O)c2[nH]cnc21
"37,38-dihydro-FK506",,,,,,,,,,,,
FK506,C01375,C01375,Tacrolimus,C44H69NO12,MNXM1106119,,,61049,,,,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
mevalonate,,,,,,,,,,,,
protoilludene,,,,,,,,,,,,
l-arginine,C00062,C00062,L-Arginine,C6H14N4O2,MNXM739527,cpd00051,arg__L,16467;32681;32682;32683,ARG,23080;80,R-ALL-113530;R-ALL-29468;R-ALL-351977;R-ALL-374064;R-ALL-428011,N=C(N)NCCC[C@H](N)C(=O)O
cinnamaldehyde,C00903,C00903,Cinnamaldehyde,C9H8O,MNXM1107985,cpd00670,,16731,CINNAMALDEHYDE,21014;5305,,O=C/C=C/c1ccccc1
(2S)-pinocembrin,,,,,,,,,,,,
vanillate,C06672,C06672,Vanillate,C8H8O4,MNXM982,cpd04073,vanlt,16632;30816,VANILLATE,8830,,COc1cc(C(=O)O)ccc1O
vanillin,C00755,C00755,4-Hydroxy-3-methoxy-benzaldehyde,C8H8O3,MNXM754,cpd00561,vanln,18346,VANILLIN,5215,,COc1cc(C=O)ccc1O
β-caryophyllene,C09629,C09629,beta-Caryophyllene,C15H24,MNXM1105679,cpd06523,,10357,CPD-8230,,,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C
4-hydroxymandelic acid,C11527,C11527,4-Hydroxymandelate,C8H8O4,MNXM4368,cpd08362,,16388;32804,4-HYDROXYMANDELATE,13590,,O=C(O)C(O)c1ccc(O)cc1
Acetic acid,C00033,C00033,Acetate,C2H4O2,MNXM26,cpd00029,ac,15366;30089,ACET;CPD-24335,1278,R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518,CC(=O)O
2-Hydroxyphenazine,,,,,,,,,,,,
phenazine-1-carboxylic acid,,,,,,,,,,,,
ornithine,C01602,C01602,Ornithine,C5H12N2O2,MNXM741174,cpd19016,,18257;32964;46912;46913,25-DIAMINOPENTANOATE,,,NCCCC(N)C(=O)O
L-proline,C00148,C00148,L-Proline,C5H9NO2,MNXM114,cpd00129;cpd15140,pro__L,17203;172951;26271;32862;32864;32871;32872;60039,PRO,25536;82,R-ALL-113538;R-ALL-352033;R-ALL-379717,O=C(O)[C@@H]1CCCN1
scutellarein 7-O-glucoside,,,,,,,,,,,,
catechol melanin,,,,,,,,,,,,
p-coumaric acid,C00811,C00811,4-Coumarate,C9H8O3,MNXM505,cpd00604,T4hcinnm,12876;32373;32374;36090,COUMARATE,5246,,O=C(O)/C=C/c1ccc(O)cc1
resveratrol,C03582,C03582,Resveratrol,C14H12O3,MNXM727883,cpd02252,,45713,CPD-83,22823;6719,,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
Luteolin 7-O-(N-acetyl)glucosaminuronic acid,,,,,,,,,,,,
Quercetin 3-O-(N-acetyl)glucosamine,,,,,,,,,,,,
Quercetin 3-O-(N-acetyl)quinovosamine,,,,,,,,,,,,
Quercetin 3-O-(N-acetyl)xylosamine,,,,,,,,,,,,
p-coumaroyl 4′-hydroxyphenyllactate,,,,,,,,,,,,
caffeoyl 4′-hydroxyphenyllactate,,,,,,,,,,,,
feruloyl 4′-hydroxyphenyllactate,,,,,,,,,,,,
"p-coumaroyl 3′,4′-dihydroxyphenyllactate",,,,,,,,,,,,
rosmarinic acid,C01850,C01850,Rosmarinate,C18H16O8,MNXM731509,cpd01273,,50371;71493,CPD-6981,18856,,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
"feruloyl 3′,4′-dihydroxyphenyllactate",,,,,,,,,,,,
coumaroyl quinate,,,,,,,,,,,,
chlorogenic acid,C00852,C00852,Chlorogenate,C16H18O9,MNXM727308,cpd00634,,16112;57644,CAFFEOYLQUINATE,5277,,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
p-coumaroyl glycerol,,,,,,,,,,,,
feruloyl glycerol,,,,,,,,,,,,
caffeoyl glycerol,,,,,,,,,,,,
